hst_idx,total,cos,shad,hst_abs,block,atm,spil,rec_refl,rec_abs
0,100001,19625.696255,0,4018.76518725,2352.63855775001,0,27846.5,4615.8,41541.6
1,100001,19856.798566,0,4007.2100717,-384.408637699998,0,29302,4721.9,42497.5
2,100001,19858.998588,0,4007.1000706,-1575.7986586,0,30139.7,4757.1,42813.9
3,100001,20106.801066,0,3994.7099467,-721.211012700005,0,26875.6,4974.5,44770.6
4,100001,20106.501063,0,3994.72494685,80.2739901499881,0,27260.5,4855.9,43703.1
5,100001,20523.905237,0,3973.85473815,-505.759975150009,0,22975.9,5303.4,47729.7
6,100001,20525.505253,0,3973.77473735,706.820009649986,0,23340.5,5145.5,46308.9
7,100003,17112.813369,0,4144.50933155,20362.47729945,0,2495.4,5588.8,50299
8,100003,17117.013495,0,4144.29932525,21261.10717975,0,2601.48,5487.9,49391.2
9,100001,20425.704255,0,3978.76478725,1268.83095775,0,22318.8,5200.9,46808
10,100001,20428.604284,0,3978.6197858,-292.72406980001,0,23199.4,5268.7,47418.4
11,100001,20357.903577,0,3982.15482115,1493.14160185,0,23864.6,5030.3,45272.9
12,100001,20350.2035,0,3982.539825,-127.043325000006,0,23415.8,5237.9,47141.6
13,100001,19802.698025,0,4009.91509875,-1145.41312375001,0,27479.5,4985.4,44868.9
14,100001,19808.098079,0,4009.64509605,-981.743175050011,0,25523.6,5164.2,46477.2
15,100001,19947.299471,0,4002.68502645,-2605.28449745,0,28974.2,4968.2,44713.9
16,100001,19949.499493,0,4002.57502535,971.025481649995,0,26247.2,4883,43947.7
17,100001,20050.600504,0,3997.5199748,227.679521199992,0,25092.8,5063.3,45569.1
18,100001,20050.100499,0,3997.54497505,886.35452595001,0,23541.6,5152.5,46372.9
19,100026,7132.053852,0,4644.6973074,-3086.85115939999,0,23168.2,6816.8,61351.1
20,100026,7157.86056,0,4643.406972,-1340.267532,0,23079.8,6648.5,59836.7
21,100003,18733.461987,0,4063.47690065,-758.538887649986,0,17084,6088,54792.6
22,100003,18749.762476,0,4062.6618762,-1022.1243522,0,18394.6,5981.8,53836.3
23,100001,18870.688705,0,4056.51556475,13794.41573025,0,9765.38,5351.4,48162.6
24,100001,18868.18868,0,4056.640566,12386.420754,0,9582.95,5510.7,49596.1
25,100001,18619.586194,0,4069.0706903,11902.4431157,0,15804.8,4960.6,44644.5
26,100001,18616.586164,0,4069.2206918,11905.8931442,0,15625,4978.5,44805.8
27,100011,13026.832794,0,4349.2083603,10394.3188457,0,8590.14,6365.1,57285.4
28,100011,13017.031716,0,4349.6984142,7632.41986980001,0,9545.15,6546.7,58920
29,100003,15542.066248,0,4223.0466876,21014.3770644,0,1583.31,5764.1,51876.1
30,100003,15537.066098,0,4223.2966951,22309.1172069,0,1500.42,5643.3,50789.8
31,100001,19520.795206,0,4024.0102397,-2031.20544569999,0,28735.2,4975.3,44776.9
32,100001,19520.895207,0,4024.00523965,-1779.50044665,0,28584.4,4965.2,44686
33,100001,19154.891547,0,4042.30542265,1126.10303034998,0,25922.9,4975.5,44779.3
34,100001,19160.591604,0,4042.0204198,-926.812023800005,0,27911.8,4981.4,44832
35,100001,17571.275711,0,4121.48621445,17826.37807455,0,5647.86,5483.4,49350.6
36,100001,17562.875627,0,4121.90621865,20298.77815435,0,6280.04,5173.7,46563.7
37,100001,19429.294291,0,4028.58528545,1394.32042355,0,28077,4707.20000000001,42364.6
38,100001,19432.094319,0,4028.44528405,1994.86039695,0,26078.8,4846.70000000001,43620.1
39,100001,19118.391182,0,4044.1304409,162.578377100006,0,27941.3,4873.5,43861.1
40,100001,19122.691225,0,4043.91543875,2867.59333624999,0,26136.9,4783,43046.9
41,100001,18416.084159,21.2725,4078.18216705,13426.69117395,0,8272.67,5578.6,50207.5
42,100001,18409.384092,0,4079.5807954,16394.4951126,0,7653.14,5346.4,48118
43,100001,19088.690885,0,4045.61545575,-480.006340749991,0,26771.9,5057.5,45517.3
44,100001,19081.990818,0,4045.9504591,2449.9587229,0,26147,4827.6,43448.5
45,100001,19062.490623,0,4046.92546885,8.18390815000021,0,28358,4852.5,43672.9
46,100001,19062.590624,0,4046.9204688,-1550.51109280001,0,27849.7,5059.2,45533.1
47,100001,19054.790546,0,4047.3104727,1285.0989813,0,27664.7,4794.9,43154.2
48,100001,19050.890507,0,4047.50547465,-658.095981650011,0,26839.2,5072.2,45649.3
49,100001,19348.093479,0,4032.64532605,213.761194949999,0,27729.9,4867.6,43809
50,100001,19350.393502,0,4032.5303249,1041.77617310001,0,27958.1,4761.8,42856.4
51,100002,19946.89893,0,4002.7550535,-511.553983500002,0,17926.6,5863.8,52773.5
52,100002,19942.498842,0,4002.9750579,1635.02610009999,0,18478.2,5594.3,50349
53,100001,20091.000908,0,3995.4999546,593.899137399996,0,22177.9,5314.3,47828.4
54,100001,20097.800976,0,3995.1599512,31.0390727999911,0,23632.5,5224.5,47020
55,100002,19688.89377,0,4015.6553115,-1406.14908149999,0,18061.5,5964.2,53677.9
56,100002,19683.193656,0,4015.9403172,-1294.8339732,0,17606,5999.1,53992.6
57,100001,19665.996658,0,4016.7501671,1901.65317489999,0,24456.6,4996,44964
58,100001,19670.396702,0,4016.5301649,665.9731331,0,25350.4,5029.7,45268
59,100001,20143.901437,0,3992.85492815,-289.156365149996,0,21107.4,5504.6,49541.4
60,100001,20147.001468,0,3992.6999266,-440.201394600008,0,20782.6,5551.9,49967
61,100001,19271.892717,0,4036.45536415,-181.448081150018,0,27494.4,4937.89999999999,44441.8
62,100001,19271.992718,0,4036.4503641,787.6569179,0,27203.1,4870.2,43831.6
63,100001,20217.702175,0,3989.16489125,1405.93293374999,0,19486.1,5490.2,49411.9
64,100001,20220.102199,0,3989.04489005,1966.05291095,0,20528.1,5329.8,47967.9
65,100001,19213.292131,0,4039.38539345,-1608.67752445002,0,28138.5,5021.9,45196.6
66,100001,19210.792106,0,4039.5103947,1390.49749929999,0,26718.7,4864.1,43777.4
67,100001,19186.891867,0,4040.70540665,6636.60272635001,0,20273.7,4986.3,44876.8
68,100001,19187.691875,0,4040.66540625,5524.24271874999,0,19543.4,5170.5,46534.5
69,100002,19428.088554,0,4028.6955723,947.415873700003,0,16900.6,5869.7,52827.5
70,100002,19441.588824,0,4028.0205588,-757.309382800013,0,18023,5926.7,53340
71,100001,19546.095459,0,4022.74522705,-886.040686050008,0,25155.1,5216.3,46946.8
72,100001,19544.595444,0,4022.8202278,-115.615671799998,0,24338.6,5221.1,46989.5
73,100001,19425.894257,0,4028.75528715,-351.34954415002,0,24891.8,5200.6,46805.3
74,100001,19431.794316,0,4028.4602842,1507.2453998,0,24209,5082.5,45742
75,100001,19935.399352,0,4003.2800324,-1806.57938439999,0,18644.8,5922.4,53301.7
76,100001,19932.099319,0,4003.44503405,-1971.84435305,0,19609.6,5842.7,52585
77,100001,19847.398472,0,4007.6800764,-640.478548400009,0,21214.1,5557.3,50015
78,100001,19849.098489,0,4007.59507555,-995.793564550011,0,21040.3,5610,50489.8
79,100001,19580.095799,0,4021.04521005,-726.641009049999,0,23086.3,5404,48636.2
80,100001,19576.095759,20.9869,4020.19586705,-942.578526050012,0,22483.9,5484.2,49358.2
81,100001,19055.690555,0,4047.26547225,-43.6560272500064,0,24534.2,5240.8,47166.7
82,100001,19056.390562,0,4047.2304719,-6.12103390000993,0,24317.9,5258.5,47327.1
83,100001,19320.693205,0,4034.01533975,-12.6085447499936,0,24042.2,5261.7,47355
84,100001,19317.693175,0,4034.16534125,-440.058516249992,0,23631,5345.8,48112.4
85,100011,12188.040537,0,4391.14797315,14106.31348985,0,710.298,6861.5,61753.7
86,100011,12179.139558,0,4391.5930221,12307.1434199,0,936.424,7019.6,63177.1
87,100001,18729.087289,0,4063.59563555,6708.81707544999,0,17630.7,5286.8,47582
